GEO_CODE,GEO_NAME,MEAN_AGE
1001105,"Portugal Cove South, T",52.1
1001113,"Trepassey, T",54.4
1001120,"St. Shott's, T",62
1001124,"Division No. 1, Subd. U, SNO",46
1001126,"Cape Broyle, T",44.8
1001131,"Renews-Cappahayden, T",53.2
1001136,"Fermeuse, T",52.8
1001140,"Port Kirwan, T",60
1001144,"Aquaforte, T",56.7
1001149,"Ferryland, T",51.4
1001155,"Division No. 1, Subd. W, SNO",52.7
1001169,"St. Vincent's-St. Stephen's-Peter's River, T",53.3
1001174,"Gaskiers-Point La Haye, T",52.9
1001178,"St. Mary's, T",55
1001181,"Riverhead, T",53.5
1001186,"Admirals Beach, T",54.3
1001192,"St. Joseph's, T",54.7
1001197,"Mount Carmel-Mitchells Brook-St. Catherine's, T",55.2
1001203,"Division No. 1, Subd. X, SNO",50.9
1001207,"Colinet, T",53.9
1001214,"Division No. 1, Subd. C, SNO",57.4
1001219,"Branch, T",50
1001225,"Point Lance, T",47
1001228,"St. Bride's, T",52.7
1001234,"Division No. 1, Subd. B, SNO",48.8
1001240,"Placentia, T",48.3
1001254,"Fox Harbour, T",47
1001259,"Division No. 1, Subd. A, SNO",55.1
1001263,"Long Harbour-Mount Arlington Heights, T",49.3
1001267,"Southern Harbour, T",49.1
1001270,"Arnold's Cove, T",47.6
1001274,"Come By Chance, T",46.5
1001277,"Sunnyside, T",47.1
1001281,"Chance Cove, T",55.7
1001285,"Norman's Cove-Long Cove, T",49.8
1001289,"Chapel Arm, T",46.2
1001293,"Division No. 1, Subd. Y, SNO",45.5
1001298,"Whitbourne, T",44.7
1001304,"Division No. 1, Subd. E, SNO",46.6
1001308,"Whiteway, T",49.8
1001312,"Heart's Delight-Islington, T",49.8
1001316,"Heart's Desire, T",48.6
1001321,"Division No. 1, Subd. F, SNO",49.4
1001325,"Heart's Content, T",54.6
1001328,"New Perlican, T",52.9
1001332,"Winterton, T",54.4
1001335,"Hant's Harbour, T",52.8
1001339,"Division No. 1, Subd. G, SNO",50.3
1001343,"Old Perlican, T",45.7
1001347,"Bay de Verde, T",50
1001352,"Small Point-Adam's Cove-Blackhead-Broad Cove, T",49.3
1001357,"Division No. 1, Subd. H, SNO",47.8
1001361,"Salmon Cove, T",46.3
1001365,"Victoria, T",44.2
1001370,"Carbonear, T",45.8
1001374,"Division No. 1, Subd. I, SNO",43.3
1001375,"Bryant's Cove, T",42.5
1001379,"Harbour Grace, T",47
1001385,"Upper Island Cove, T",45.5
1001394,"Bishop's Cove, T",51.4
1001396,"Spaniard's Bay, T",42.9
1001409,"Bay Roberts, T",42.2
1001415,"Division No. 1, Subd. L, SNO",44.3
1001421,"Division No. 1, Subd. M, SNO",44.6
1001426,"North River, T",45.7
1001429,"Clarke's Beach, T",50.3
1001434,"South River, T",46.8
1001437,"Cupids, T",46
1001441,"Division No. 1, Subd. N, SNO",44.7
1001446,"Brigus, T",47.8
1001452,"Division No. 1, Subd. O, SNO",49.4
1001456,"Colliers, T",46.4
1001461,"Conception Harbour, T",45
1001464,"Avondale, T",44
1001469,"Harbour Main-Chapel's Cove-Lakeview, T",45.6
1001472,"Holyrood, T",44.1
1001485,"Conception Bay South, T",39.8
1001490,"Division No. 1, Subd. R, SNO",54.4
1001494,"Wabana, T",46.4
1001504,"Portugal Cove-St. Philip's, T",39.2
1001505,"Pouch Cove, T",39.8
1001507,"Flatrock, T",36.8
1001509,"Torbay, T",37.6
1001511,"Logy Bay-Middle Cove-Outer Cove, T",41.7
1001512,"Bauline, T",40.7
1001517,"Paradise, T",35.4
1001519,"St. John's, CY",41.2
1001542,"Mount Pearl, CY",42.7
1001551,"Petty Harbour-Maddox Cove, T",41.4
1001557,"Bay Bulls, T",39.1
1001559,"Witless Bay, T",39
1001565,"Division No. 1, Subd. D, SNO",47.7
1002001,"Division No. 2, Subd. E, SNO",48.3
1002002,"Lewin's Cove, T",44.1
1002005,"Burin, T",44.4
1002006,"Division No. 2, Subd. F, SNO",45.7
1002008,"St. Lawrence, T",46.4
1002011,"Lawn, T",44.5
1002012,"Lamaline, T",47.7
1002013,"Lord's Cove, T",49.5
1002014,"Point May, T",49.8
1002015,"Point au Gaul, T",48.7
1002016,"Division No. 2, Subd. H, SNO",57.3
1002017,"Frenchman's Cove, T",53
1002018,"Fortune, T",47.6
1002019,"Grand Bank, T",50.9
1002021,"Garnish, T",48
1002022,"Division No. 2, Subd. D, SNO",49.8
1002023,"Winterland, T",43.1
1002024,"Marystown, T",44
1002025,"Fox Cove-Mortier, T",45.3
1002026,"Division No. 2, Subd. I, SNO",51
1002027,"Bay L'Argent, T",49.6
1002030,"Grand le Pierre, T",47.6
1002031,"Division No. 2, Subd. C, SNO",49.3
1002033,"Rushoon, T",48.9
1002034,"Parkers Cove, T",46.3
1002036,"Terrenceville, T",44.8
1002037,"Red Harbour, T",44.6
1002039,"English Harbour East, T",48.8
1002040,"Baine Harbour, T",46
1002041,"St. Bernard's-Jacques Fontaine, T",49.1
1002048,"Division No. 2, Subd. K, SNO",54.1
1002055,"Little Bay East, T",49.9
1003002,"Rencontre East, T",39.1
1003003,"St. Jacques-Coomb's Cove, T",45.4
1003004,"Belleoram, T",39.6
1003005,"Pool's Cove, T",47.8
1003008,"Harbour Breton, T",44.7
1003010,"Seal Cove (Fortune Bay), T",55.8
1003011,"Hermitage-Sandyville, T",51.5
1003012,"Gaultois, T",47.9
1003014,"Division No. 3, Subd. D, SNO",53.2
1003018,"Milltown-Head of Bay d'Espoir, T",51.5
1003019,"St. Alban's, T",47.6
1003020,"Morrisville, T",54.1
1003021,"Division No. 3, Subd. E, SNO",48.3
1003024,"Division No. 3, Subd. F, SNO",47.3
1003026,"Ramea, T",53.5
1003028,"Burgeo, T",52.2
1003031,"Division No. 3, Subd. H, SNO",46.5
1003032,"Isle aux Morts, T",50
1003033,"Burnt Islands, T",46.1
1003034,"Channel-Port aux Basques, T",47.9
1003038,"Division No. 3, Subd. I, SNO",51.1
1003042,"Division No. 3, Subd. J, SNO",61.6
1003045,"Rose Blanche-Harbour le Cou, T",54.1
1003801,"Samiajij Miawpukek, IRI",35.9
1004001,"Division No. 4, Subd. A, SNO",51.1
1004006,"Division No. 4, Subd. B, SNO",51.8
1004011,"Division No. 4, Subd. C, SNO",46.1
1004013,"St. George's, T",45.7
1004016,"Division No. 4, Subd. D, SNO",49.2
1004017,"Gallants, T",60.2
1004018,"Stephenville Crossing, T",48.5
