GeonameID,Place Name (UTF8) VarChar(200),Place ASCII Name,Latitude,Longitude,Feature Class,Feature Code,Country Code,Alternate Country Codes (comma-separated),Fipscode,2nd Level Admin Division,3rd Level Admin Division,4th Level Admin Division,Population,Elevation (metres),Digital Elevation Model (metres),Timezone (IANA ID),Modification Date
5881639,100 Mile House,100 Mile House,51.64982,-121.28594,P,PPL,CA,,2,5941,5941005,,1980,,928,America/Vancouver,2019-11-26
6943716,≈Åutselk'e,Lutselk'e,62.4056,-110.736,P,PPL,CA,,13,11995137,6105020,,303,,156,America/Yellowknife,2019-11-04
5881791,Abbotsford,Abbotsford,49.05798,-122.25257,P,PPL,CA,,2,5909,5909052,,141397,,114,America/Vancouver,2021-12-05
5882142,Acton Vale,Acton Vale,45.65007,-72.56582,P,PPL,CA,,10,16,48028,,7656,,90,America/Toronto,2021-11-12
5882428,Adstock,Adstock,46.05007,-71.08235,P,PPL,CA,,10,12,31056,,2643,,390,America/Toronto,2016-06-22
5882534,Agassiz,Agassiz,49.23298,-121.76926,P,PPL,CA,,2,5909,5909032,,4738,,17,America/Vancouver,2019-02-26
5882640,Aguanish,Aguanish,50.21684,-62.08183,P,PPL,CA,,10,,,,245,,1,America/Toronto,2021-12-27
5882799,Airdrie,Airdrie,51.30011,-114.03528,P,PPL,CA,,1,,,,24673,,1086,America/Edmonton,2008-04-11
5882873,Ajax,Ajax,43.85012,-79.03288,P,PPL,CA,,8,,,,119677,,97,America/Toronto,2021-11-10
5882953,Aklavik,Aklavik,68.21913,-135.01071,P,PPL,CA,,13,11995136,6101025,,590,,1,America/Yellowknife,2021-12-22
5883074,Albanel,Albanel,48.88324,-72.44867,P,PPL,CA,,10,2,92030,,1087,,150,America/Toronto,2016-06-22
5883166,Alberton,Alberton,46.81685,-64.06542,P,PPL,CA,,9,,,,1147,,10,America/Halifax,2008-04-11
7669018,Aldergrove,Aldergrove,49.05801,-122.47087,P,PPL,CA,,2,5915,5915001,,12363,,102,America/Vancouver,2019-02-26
12070754,Aldergrove East,Aldergrove East,49.05614,-122.45457,P,PPL,CA,,2,5909,5909052,,3491,,110,America/Vancouver,2020-05-30
5883353,Aldouane,Aldouane,46.63343,-65.06544,P,PPL,CA,,4,,,,895,,38,America/Moncton,2019-08-12
5884051,Alliston,Alliston,44.15011,-79.86635,P,PPL,CA,,8,3543,3543007,,18809,,223,America/Toronto,2019-08-08
5884083,Alma,Alma,48.55009,-71.6491,P,PPL,CA,,10,2,93042,,29526,,90,America/Toronto,2016-06-22
5884260,Altona,Altona,49.10469,-97.55961,P,PPL,CA,,3,,,,4212,,246,America/Winnipeg,2021-12-23
5884467,Amherst,Amherst,45.83345,-64.19874,P,PPL,CA,,7,,,,9413,,20,America/Halifax,2021-12-27
5884472,Amherstburg,Amherstburg,42.10009,-83.09985,P,PPL,CA,,8,,,,13910,,181,America/Toronto,2019-08-08
5884497,Amigo Beach,Amigo Beach,44.6919,-79.39317,P,PPL,CA,,8,3543,3543015,,1545,,222,America/Toronto,2020-05-30
5884588,Amos,Amos,48.56688,-78.11624,P,PPL,CA,,10,8,88055,,17918,,298,America/Toronto,2019-03-18
6943488,Amqui,Amqui,48.46382,-67.43134,P,PPL,CA,,10,1,7047,,6261,,161,America/Toronto,2016-06-22
8285452,Ancaster,Ancaster,43.21806,-79.98716,P,PPL,CA,,8,,,,40557,,253,America/Toronto,2021-12-21
5885150,Ange-Gardien,Ange-Gardien,45.35008,-72.93244,P,PPL,CA,,10,16,55008,,2420,,71,America/Toronto,2016-06-22
5886139,Anten Mills,Anten Mills,44.4815,-79.81722,P,PPL,CA,,8,3543,3543009,,800,20,233,America/Toronto,2019-02-26
5886182,Antigonish,Antigonish,45.61685,-61.99858,P,PPL,CA,,7,,,,5003,,17,America/Halifax,2008-04-11
5886586,Arbutus Ridge,Arbutus Ridge,49.24966,-123.16934,P,PPL,CA,,2,,,,1063,,33,America/Vancouver,2019-08-11
5886799,Arelee,Arelee,52.25011,-107.50129,P,PPL,CA,,11,,,,10,,544,America/Regina,2019-08-08
5887048,Armstrong,Armstrong,50.44979,-119.20235,P,PPL,CA,,2,5937,5937028,,4275,,359,America/Vancouver,2019-02-26
5887214,Arnprior,Arnprior,45.43341,-76.34939,P,PPL,CA,,8,,,,8795,,72,America/Toronto,2021-12-23
5887470,Asbestos,Asbestos,45.76678,-71.9324,P,PPL,CA,,10,5,40043,,7190,,252,America/Toronto,2016-06-22
5887531,Ashcroft,Ashcroft,50.72372,-121.28207,P,PPL,CA,,2,5933,5933019,,1558,,307,America/Vancouver,2021-12-27
5887630,Ashton,Ashton,45.15011,-76.03267,P,PPL,CA,,8,3509,3509024,,200,,146,America/Toronto,2019-02-26
5887798,Assiniboia,Assiniboia,49.63336,-105.98446,P,PPL,CA,,11,,,,2389,,743,America/Regina,2021-12-23
5887916,Athabasca,Athabasca,54.71687,-113.28537,P,PPL,CA,,1,,,,2965,,534,America/Edmonton,2021-12-23
5887942,Athens,Athens,44.63341,-75.94936,P,PPL,CA,,8,,,,982,,119,America/Toronto,2019-08-12
5888001,Atikokan,Atikokan,48.75667,-91.62409,P,PPL,CA,,8,3559,3559001,,2753,,390,America/Atikokan,2021-12-25
5888118,Attawapiskat,Attawapiskat,52.92774,-82.41669,P,PPL,CA,,8,,,,1501,,5,America/Toronto,2019-08-10
5888377,Aurora,Aurora,44.00011,-79.46632,P,PPL,CA,,8,,,,55445,,266,America/Toronto,2019-09-05
5888716,Aylmer,Aylmer,42.76679,-80.98302,P,PPL,CA,,8,,,,7492,,229,America/Toronto,2021-12-23
5888759,Azilda,Azilda,46.55008,-81.09975,P,PPL,CA,,8,,,,4663,,270,America/Toronto,2019-08-10
5897209,BÈcancour,Becancour,46.34106,-72.43224,P,PPL,CA,,10,17,38010,,11134,,9,America/Toronto,2019-08-11
12076641,Baie Ste. Anne,Baie Ste. Anne,47.05231,-64.95355,P,PPL,CA,,4,1309,,,1319,,5,America/Moncton,2019-09-04
5889745,Baie-Comeau,Baie-Comeau,49.21679,-68.14894,P,PPL,CA,,10,9,96020,,21536,,76,America/Toronto,2021-11-11
5890542,Baie-D'UrfÈ,Baie-D'Urfe,45.41397,-73.91586,P,PPL,CA,,10,6,66112,,3902,,40,America/Toronto,2016-06-22
6639618,Baie-Sainte-Catherine,Baie-Sainte-Catherine,48.10617,-69.72834,P,PPL,CA,,10,3,15065,,200,,22,America/Toronto,2016-06-22
6690232,Baie-Saint-Paul,Baie-Saint-Paul,47.44109,-70.49858,P,PPL,CA,,10,3,16013,,7146,,7,America/Toronto,2021-12-21
5891492,Baie-TrinitÈ,Baie-Trinite,49.41679,-67.29887,P,PPL,CA,,10,9,96005,,419,,-9999,America/Toronto,2016-06-22
7669006,Baker Trails,Baker Trails,49.08668,-121.93743,P,PPL,CA,,2,,,,635,,53,America/Vancouver,2011-02-19
5892205,Ballantrae,Ballantrae,44.03342,-79.2996,P,PPL,CA,,8,,,,3223,,338,America/Toronto,2019-08-10
5892444,Bamfield,Bamfield,48.83306,-125.14136,P,PPL,CA,,2,5923,,,251,,28,America/Vancouver,2013-10-27
5892510,Bancroft,Bancroft,45.05752,-77.85702,P,PPL,CA,,8,,,,3838,,330,America/Toronto,2008-02-01
5892532,Banff,Banff,51.17622,-115.56982,P,PPL,CA,,1,,,,7502,,1388,America/Edmonton,2021-08-01
5893094,Barkmere,Barkmere,46.00009,-74.58254,P,PPL,CA,,10,15,78050,,87,,216,America/Toronto,2016-06-22
5894033,Barraute,Barraute,48.43349,-77.63279,P,PPL,CA,,10,8,88022,,1180,,301,America/Toronto,2016-06-22
5894164,Barrhead,Barrhead,54.13345,-114.40211,P,PPL,CA,,1,,,,4579,,656,America/Edmonton,2021-12-22
5894188,BarriËre,Barriere,51.18308,-120.1192,P,PPL,CA,,2,5933,5933074,,1283,,399,America/Vancouver,2019-08-11
5894171,Barrie,Barrie,44.40011,-79.66634,P,PPL,CA,,8,,,,141434,,269,America/Toronto,2021-12-21
5894642,Bassano,Bassano,50.78998,-112.46805,P,PPL,CA,,1,4802039,,,1206,,792,America/Edmonton,2021-12-22
5894924,Bath,Bath,44.18342,-76.78273,P,PPL,CA,,8,3511,3511005,,1180,,79,America/Toronto,2019-08-08
6696259,Bathurst,Bathurst,47.61814,-65.65112,P,PPL,CA,,4,,,,11897,,6,America/Moncton,2021-11-11
5895424,Bay Roberts,Bay Roberts,47.59989,-53.26478,P,PPL,CA,,5,,,,6012,,9,America/St_Johns,2021-12-21
5895446,Bay St. George South,Bay St. George South,48.22781,-58.84162,P,PPL,CA,,5,,,,1103,,25,America/St_Johns,2019-08-11
5895650,Beaconsfield,Beaconsfield,45.43341,-73.86586,P,PPL,CA,,10,6,66107,,19194,,33,America/Toronto,2019-03-18
6295855,Beauceville,Beauceville,46.21785,-70.77873,P,PPL,CA,,10,12,27028,,6354,229,174,America/Toronto,2021-12-22
5896495,Beauharnois,Beauharnois,45.31341,-73.8725,P,PPL,CA,,10,16,70022,,11918,,27,America/Toronto,2019-03-18
5896522,Beaumont,Beaumont,53.35013,-113.41871,P,PPL,CA,,1,,,,7366,,716,America/Edmonton,2008-04-11
6325479,BeauprÈ,Beaupre,47.04428,-70.89529,P,PPL,CA,,10,3,21025,,2803,,21,America/Toronto,2019-02-26
5896549,Beausejour,Beausejour,50.0622,-96.51669,P,PPL,CA,,3,,,,3126,,248,America/Winnipeg,2021-12-23
5896969,Beaverlodge,Beaverlodge,55.21664,-119.43605,P,PPL,CA,,1,,,,2219,,723,America/Edmonton,2008-04-11
5897323,Bedford,Bedford,45.11678,-72.98244,P,PPL,CA,,10,16,46035,,2684,,57,America/Toronto,2019-02-26
11837933,Behchok«´ÃÄ,Behchoko,62.8025,-116.04639,P,PPL,CA,,13,11995137,6103031,,1874,7,156,America/Yellowknife,2021-12-22
7669005,Bell Acres,Bell Acres,49.07791,-121.86756,P,PPL,CA,,2,,,,582,,93,America/Vancouver,2011-02-19
5897874,Belleterre,Belleterre,47.38344,-78.69961,P,PPL,CA,,10,8,85065,,350,,311,America/Toronto,2016-06-22
5897884,Belleville,Belleville,44.16682,-77.38277,P,PPL,CA,,8,3512,,,50716,,93,America/Toronto,2021-12-21
5898070,Bells Corners,Bells Corners,45.31588,-75.83012,P,PPL,CA,,8,3506,3506008,,9272,,96,America/Toronto,2021-12-25
5898124,Belmont,Belmont,42.88339,-81.08303,P,PPL,CA,,8,,,,1140,,257,America/Toronto,2019-08-09
5898138,Beloeil,Beloeil,45.56839,-73.20568,P,PPL,CA,,10,16,57040,,18927,,13,America/Toronto,2019-03-18
5898524,Benson,Benson,49.45006,-103.01766,P,PPL,CA,,11,,,,116,,593,America/Regina,2019-08-08
5899017,Berthierville,Berthierville,46.08336,-73.18245,P,PPL,CA,,10,14,52035,,4411,,9,America/Toronto,2016-06-22
5899061,Berwick,Berwick,45.05015,-64.73208,P,PPL,CA,,7,,,,2509,,33,America/Halifax,2021-12-26
5899156,Bethany,Bethany,44.18342,-78.56625,P,PPL,CA,,8,,,,500,,272,America/Toronto,2011-05-18
5899982,Biggar,Biggar,52.05978,-107.98844,P,PPL,CA,,11,,,,2068,,665,America/Regina,2020-05-30
5901886,Birsay,Birsay,51.10007,-106.98458,P,PPL,CA,,11,,,,46,,595,America/Regina,2019-08-08
5902458,Black Diamond,Black Diamond,50.68771,-114.23241,P,PPL,CA,,1,4806011,,,3663,,1180,America/Edmonton,2020-05-30
5902599,Blackfalds,Blackfalds,52.38342,-113.7853,P,PPL,CA,,1,,,,9328,,876,America/Edmonton,2021-12-22
5903356,Blackstock,Blackstock,44.10012,-78.81626,P,PPL,CA,,8,,,,781,,302,America/Toronto,2019-08-12
5903510,Blainville,Blainville,45.66678,-73.88249,P,PPL,CA,,10,15,73015,,46493,,73,America/Toronto,2019-02-26
5903593,Blaketown,Blaketown,47.4832,-53.5648,P,PPL,CA,,5,,,,605,,97,America/St_Johns,2019-08-12
